name,year,total_population,median_contract_rent,median_home_value,price_to_rent
"Atlanta, Georgia",2013,443768,776,192900,20.715206185567013
"Atlanta, Georgia",2014,447848,784,200900,21.354166666666668
"Atlanta, Georgia",2015,456012,789,217700,22.99324038867765
"Atlanta, Georgia",2016,463875,809,241200,24.84548825710754
"Atlanta, Georgia",2017,472506,904,262600,24.207227138643063
"Atlanta, Georgia",2018,486299,941,299400,26.51434643995749
"Atlanta, Georgia",2019,498073,1029,302200,24.47359896339488
"Omaha, Nebraska",2010,454714,601,134600,18.663338879645035
"Omaha, Nebraska",2011,410269,609,134300,18.377120963327854
"Omaha, Nebraska",2012,415076,619,130900,17.622509423801827
"Omaha, Nebraska",2013,421564,644,130400,16.873706004140786
"Omaha, Nebraska",2014,434353,637,134600,17.60858189429618
"Omaha, Nebraska",2015,446618,673,134900,16.70381376919267
"Omaha, Nebraska",2016,443887,677,143200,17.626784835056622
"Omaha, Nebraska",2017,446956,712,149900,17.544475655430713
"Omaha, Nebraska",2018,466903,734,157100,17.83605812897366
"Omaha, Nebraska",2019,468267,761,163400,17.893123083661852
"Virginia Beach, Virginia",2010,433575,997,279200,23.33667669675694
"Virginia Beach, Virginia",2011,439172,1030,275100,22.257281553398066
"Virginia Beach, Virginia",2012,442707,1021,264300,21.57198824681685
"Virginia Beach, Virginia",2013,447021,1043,259500,20.73346116970278
"Virginia Beach, Virginia",2014,448479,1060,259200,20.37735849056604
"Virginia Beach, Virginia",2015,450980,1033,261800,21.11971603743143
"Virginia Beach, Virginia",2016,452745,1072,262900,20.436878109452735
"Virginia Beach, Virginia",2017,452602,1122,271400,20.157456922162805
"Virginia Beach, Virginia",2018,450435,1154,282300,20.385615251299825
"Virginia Beach, Virginia",2019,450189,1153,285400,20.62734894478173
"Colorado Springs, Colorado",2010,399803,669,213800,26.63178873941206
"Colorado Springs, Colorado",2011,419586,667,211700,26.44927536231884
"Colorado Springs, Colorado",2012,426406,727,207300,23.762035763411284
"Colorado Springs, Colorado",2013,431846,735,210400,23.854875283446713
"Colorado Springs, Colorado",2014,439858,778,205600,22.022279348757497
"Colorado Springs, Colorado",2015,445820,794,217200,22.795969773299756
"Colorado Springs, Colorado",2016,456562,848,228600,22.464622641509433
"Colorado Springs, Colorado",2017,465084,885,243600,22.93785310734464
"Colorado Springs, Colorado",2018,464470,953,265400,23.20741518013291
"Colorado Springs, Colorado",2019,472666,1028,288400,23.378728923476004
"Raleigh, North Carolina",2010,405197,711,214900,25.187529301453363
"Raleigh, North Carolina",2011,406609,700,212800,25.33333333333333
"Raleigh, North Carolina",2012,416126,712,194200,22.72940074906367
"Raleigh, North Carolina",2013,423743,754,210900,23.309018567639257
"Raleigh, North Carolina",2014,431897,774,202800,21.834625322997407
